ticker,index_id,avg_net_expense_mer,avg_time_existence,avg_time_since_first,avg_aum_index,avg_lend_byaum_bps,avg_marketing_fee_bps,avg_other_expenses,avg_fee_waivers,avg_creation_fee,avg_stock_tweets,avg_ratio_tra,avg_highfee,avg_tr_error_bps,avg_perf_drag_bps,avg_d_uit,avg_mgr_duration_tii,avg_mgr_duration_tsi,avg_mgr_duration,avg_ratio_tii,avg_mer_bps,avg_mkt_share,avg_spread_bps_crsp,avg_turnover_frac,avg_qs_dollar_tw,avg_qs_percent_tw,avg_es_dollar_ave,avg_es_percent_ave,avg_rs_dollar_ave,avg_rs_percent_ave,avg_profit,log_avg_volume,log_avg_aum,log_avg_profit,log_avg_aum_index,avg_different_benchmarks,avg_different_lead_mm,avg_firstmover
ACWI,All World,.022500001,10.375,1.1198038,19467782144,.77006507,0,.025,-.0024999999,7800,-.07556282,.26876253,1,35.417973,-.91529262,0,3.1657503,4.7981052,3.2018528,88.019753,32.25,.4586004,2.9853258,5.850811,.013779674,.00020253724,.0087069254,.00012898324,.00084146269,.000013259385,28535114,19.145283,22.906231,17.166645,23.692026,1,.64999998,1
ACWX,MSCI ACWI ex-US Index,.045000002,10.375,1.2172946,4332182016,0,0,.050000001,-.0049999999,11700,-.077645347,.15488498,1,72.622124,-1.3825096,0,3.3746588,6.1025372,4.2281599,65.925232,32.25,.68656749,4.2068367,4.7248263,.014571809,.00032571625,.0089824069,.00020212399,.0020117732,.000043755128,9572838,17.899893,21.81394,16.07444,22.189337,0,0,0
CQQQ,China Technology Sector,0,8.625,.89910477,1826049024,.48838529,0,0,0,500,-.076408498,.37420905,0,51.8755,.99010497,0,1.9964497,6.1195397,2.8344567,89.197754,70,.22399434,20.323736,3.8942163,.11050775,.0023921025,.063164927,.0014250684,.036877505,.00086115417,2993456.3,15.695005,19.873785,14.91194,21.32542,1,1,1
CWI,MSCI ACWI ex-US Index,-.039999999,11.375,1.2041395,4332182016,1.6899639,0,0,-.039999999,12000,-.074556679,.070097625,0,71.502785,-.92803621,0,3.0492067,6.0388503,4.1469116,68.169235,30,.31343254,7.7803178,2.1455181,.024725679,.00083820912,.011113193,.0003704218,.0068798852,.00022669832,4067702,16.263851,21.027731,15.218589,22.189337,0,0,1
EEM,Emerging Markets,.00049999997,15.125,1.2601748,85886312448,4.6332207,0,.00049999997,0,7700,-.039205901,.32339588,1,94.250412,-.35656631,0,3.4714386,5.639616,3.593868,88.452782,69.150002,.3442556,2.4356282,24.088734,.010496723,.00025795211,.0076034977,.00018779717,.00089928875,.000021972093,203698720,21.732727,24.10626,19.132153,25.176291,1,.64999998,1
ENOR,MSCI Norway IMI 25/50 Index,0,5.375,.5895763,156895440,1.4227837,0,0,0,1300,0,.6349358,1,29.814413,-1.1412309,0,1.5664142,4.5714607,2.1771069,90.865273,53,.17883234,33.903908,3.2783184,.083968401,.0034965589,.053487834,.0022377104,.040293764,.0016552525,169140.08,13.009752,17.191519,12.038483,18.87109,.41666666,0,0
ERUS,Russia,0,7.625,1.4998753,2111719168,0,0,0,0,2300,-.078359976,.54688996,0,32.7887,-1.7644012,0,5.5073366,3.9845362,4.3323784,83.96405,62.25,.24411039,10.910929,5.5285144,.034471214,.001134998,.013977288,.0005011154,.0046221321,.00016118502,3098631.5,16.185385,20.026573,14.946471,21.470768,1,.64999998,0
EWA,Australia,0,23.625,2.0502923,1342460032,0,0,0,0,2400,-.077147506,.3986924,1,135.4713,-9.14888,0,3.8495662,6.2065473,4.015944,91.705498,49,.99179906,5.2218046,12.755558,.020109253,.00095171639,.0078628398,.00037947175,.001803104,.000085739055,6524339,18.016548,21.009571,15.691051,21.017769,1,1,1
EWG,Germany,0,23.625,1.8936564,2384319744,1.2071056,0,0,0,1500,-.075333044,.471591,1,90.187523,-4.5157309,0,3.9487588,6.2895775,3.9971635,94.942238,49,.99524772,3.8348274,13.544605,.016643984,.0005955649,.0083206724,.00030268115,.0013755772,.00005043461,11624793,18.659288,21.587172,16.26865,21.59218,1,0,1
EWH,Hong Kong,0,23.625,2.0932343,1909537152,.35351247,0,0,0,2000,-.075667143,.36175159,1,36.195839,-2.8575513,0,4.0488834,5.6546426,3.9154167,98.418388,49,.99020123,4.5624061,20.483868,.013878927,.00059082691,.007088637,.00030417898,.0017319646,.000073078249,9273342,18.750755,21.361176,16.042654,21.370127,1,1,1
EWU,UK,0,23.625,1.8496253,2214783744,.005863369,0,0,0,3500,-.074945323,.2614536,1,99.618668,-7.565589,0,1.9522178,5.2050691,2.1493502,95.141518,48,.97751081,3.7152803,11.565123,.021611206,.00070169783,.0080294292,.00026940738,.0017352122,.000057415855,10385541,18.40008,21.495064,16.155926,21.518421,1,1,1
EWY,Korea,0,19.375,2.0019627,4573158400,6.3054481,0,0,0,4000,-.075966142,.43848163,1,141.3754,-2.9863832,0,3.992903,4.4056616,3.8673358,97.142189,62,.99593085,2.6005878,14.483871,.022982132,.00036535805,.0085145161,.00014208962,.00057114905,9.6643680e-06,28236924,19.371302,22.239347,17.156141,22.243469,1,1,1
EWZ,Brazil,0,19.125,2.0931509,7316004864,0,0,0,0,2400,-.059081964,.52880591,1,134.61487,-6.0159559,0,2.3503196,2.6291339,2.3223312,96.310257,62,.98990083,2.9994869,40.218014,.011669557,.0003255734,.0085944384,.00024110294,.00095453445,.000024055618,44946956,20.834856,22.704199,17.620993,22.713329,1,1,1
EZU,Eurozone,0,17.875,1.311741,22097475584,18.656895,0,0,0,7500,-.075832233,.34778404,1,82.690094,-.40710881,0,3.5600598,5.6826601,3.5188577,80.550659,48.75,.34182855,2.9954741,8.5900927,.012020659,.00031413333,.007954523,.00020980136,.0012468392,.000032200995,41129488,19.369093,22.803793,17.532236,23.818729,1,.25,1
FDN,US Internet Sector,.13249999,12.125,1.2804359,7244318208,.0301068,0,.13249999,0,500,-.076216012,.27918473,0,5.0363474,-.24121399,0,2.3197412,5.5294914,2.406517,85.854973,53.25,.92730504,3.0754819,2.4815042,.057613943,.00047280735,.029601537,.00024628409,.016789291,.00014012599,35734224,18.035271,22.629246,17.391619,22.703484,1,1,1
FEZ,Europe,0,15.625,1.1911054,5012045824,.12058415,0,0,0,1500,-.076161429,.32915568,0,79.774925,-2.2687066,0,2.4884601,5.8809018,2.6668286,89.5812,29,.55531132,3.1029546,11.549756,.017848006,.00047910138,.0082963062,.00022899221,.00109873,.000029404675,8126393.5,18.591631,21.753672,15.910627,22.33511,1,1,0
FLAU,Australia,-.25,1.875,1.1488546,1342460032,0,25,0,0,750,0,.81181431,0,36.195839,-2.8575513,0,1.5962236,1.7857255,1.6157833,86.113045,9,.0082009528,38.130196,2.5605087,.086972676,.0037912384,.090232022,.0038538221,.063041568,.0027152889,9866.043,11.55887,16.20997,9.1968546,21.017769,1,1,0
FLBR,Brazil,-.25,1.875,.37742808,7316004864,0,25,0,0,500,0,.38450921,0,36.195839,-2.8575513,0,2.5039873,2.2179666,2.4973626,79.886589,19,.010099149,36.379868,1.7114505,.054186653,.0024465446,.040830158,.0018783263,.030812826,.0014128118,126341.31,13.097054,18.012644,11.746742,22.713329,1,1,0
FLGB,UK,-.25,1.875,.61577529,2214783744,.36870453,25,0,0,750,0,.088822253,0,36.195839,-2.8575513,0,3.8438344,3.5702584,3.9874201,59.020344,9,.022489216,28.168701,3.2607768,.059331931,.0026748844,.036686886,.0016450614,.030049311,.0013434367,46016.93,13.309283,17.74988,10.736765,21.518421,1,1,0
FLHK,Hong Kong,-.25,1.875,.96360165,1909537152,0,25,0,0,750,0,.45753178,0,36.195839,-2.8575513,0,2.5039506,,2.5039506,100,9,.0097987801,27.202518,.30653057,.072042696,.0029740827,.061193496,.0025123605,.067833103,.0031158391,15316.28,9.9567509,16.649788,9.636672,21.370127,1,1,0
FLKR,Korea,-.25,1.875,.69748557,4573158400,0,25,0,0,500,0,.51829052,0,36.195839,-2.8575513,0,2.900974,2.2179666,2.9884777,78.934723,9,.0040691332,41.61869,2.5089593,.086460717,.004091667,.057054434,.0027433287,.048851334,.002350772,16934.908,12.228109,16.750248,9.7371321,22.243469,1,1,0
GII,S&P Global Infrastructure Index,0,11.375,1.8946089,2545359616,1.2608534,0,0,0,2000,-.074595019,.087310128,0,52.260441,-.8478834,0,5.6966653,5.7339458,5.6011462,93.36924,40,.08785212,26.980825,1.4767263,.12925935,.0027457166,.080800593,.0017278347,.071861587,.0015326689,942298.38,14.119401,19.277538,13.756077,21.657537,0,1,1
IEFA,EAFE,0,5.625,,108325838848,2.1545324,0,0,0,15000,-.054727189,,.89999998,74.87075,-1.6248769,0,,,,,8.6000004,.40193862,1.9454545,2.8187618,.013058434,.00021832107,.0080735302,.00013751393,.0027483809,.00004673512,38149888,20.039236,24.570011,17.457033,25.408409,1,.64999998,0
IEV,Europe,0,17.875,1.2689471,5012045824,1.0432767,0,0,0,10000,-.078006893,.42163137,1,79.754265,-1.9130112,0,4.8121996,6.0361209,4.8134356,89.390396,60,.44468865,3.9025383,2.9552689,.014970172,.00035639215,.009371127,.00022338239,.002165264,.000051101841,13259045,17.087587,21.516186,16.40019,22.33511,1,1,1
IGF,S&P Global Infrastructure Index,0,10.625,1.2052253,2545359616,2.8612931,0,0,0,1600,-.0782874,.037796404,1,49.176857,-.73366237,0,4.9647465,6.0160866,4.9531503,95.930367,47.75,.91214788,9.3888741,1.673761,.037654176,.00091527664,.022503557,.00054504676,.014783916,.00035591336,11059441,16.562326,21.560421,16.218796,21.657537,0,1,0
IJH,S&P Midcap 400 Index,0,18.125,1.3090662,60172587008,2.3629842,0,0,0,1000,-.076177977,.085746147,0,10.193362,-1.4398254,0,2.8864357,6.3377981,3.5987415,75.666862,7.5363636,.68716657,1.2692109,1.57102,.047251929,.00026857195,.028376685,.00016329081,.017779369,.00010064866,30524738,19.360378,24.46382,17.234049,24.820482,0,.85000002,0
IJJ,S&P Midcap 400 Value Index,0,17.875,1.1387749,6419376128,2.3412957,0,0,0,700,-.07830561,.10862958,1,11.389601,-1.8637254,0,2.374398,6.4514809,3.1215405,74.019073,24.65,.79787201,3.5943379,1.0645223,.097659372,.00069608918,.059016615,.00042690587,.044435047,.00032117774,13589331,16.911707,22.430124,16.424795,22.582586,0,.94999999,1
IJK,S&P Midcap 400 Growth Index,0,17.875,1.1880745,7970447360,2.1046276,0,0,0,550,-.078351937,.084256157,1,8.6447611,-1.2351488,0,2.0112889,6.2948489,2.6902921,76.464035,24.6,.7935338,4.0814338,.84288317,.15437192,.00077820936,.093345098,.00047029636,.074029818,.00037110911,16731711,16.91486,22.642683,16.632816,22.799006,0,.94999999,1
IJR,S&P SmallCap 600 Index,0,18.125,1.3793672,37055610880,5.2277398,0,0,0,1500,-.077067107,.076576725,0,11.788671,-1.8537636,0,3.3756166,6.4113045,3.8976512,76.828072,7.6431818,.95533568,2.1897874,1.9801074,.024638044,.00027460436,.015004439,.00017659817,.0077121062,.000091074238,26191636,19.471607,24.311728,17.08095,24.335686,0,.85000002,1
IJS,S&P Smallcap 600 Value Index,0,17.875,1.4507005,6466506240,8.1301003,0,0,0,1100,-.078238837,.15337811,1,20.410042,-3.8939157,0,3.4653716,6.2593365,3.9166429,82.194244,24.65,.75495803,4.832808,1.4976448,.12548511,.00096440938,.069869049,.00053203519,.047597721,.00036174204,12806618,17.218348,22.373869,16.365473,22.589901,0,.94999999,.40000001
IJT,S&P Smallcap 600 Growth Index,0,17.875,1.4170073,5905703936,3.8157525,0,0,0,900,-.078324988,.11345939,1,9.5093536,-1.213035,0,3.3091176,6.3155584,3.6608357,83.635918,24.65,.73238862,6.835959,1.1002225,.17811172,.0011150681,.10689747,.00067381258,.076825038,.00048508978,11664011,16.828039,22.278812,16.272018,22.499184,0,.94999999,.40000001
ITA,US Defense Sector,0,12.125,.98179752,4448145408,2.9516668,0,0,0,250,-.075045958,.26752439,0,8.6491575,-1.7352487,0,2.3577201,5.4305592,2.5743587,85.966774,43.950001,.81327999,4.2510099,3.1056674,.11228744,.00066710194,.06806545,.00040699137,.044239469,.00026576847,16287691,17.586943,22.032303,16.605921,22.215754,1,.75,0
IVE,S&P 500 Value Index,0,18.125,1.3267905,16633363456,.58549917,0,0,0,900,-.077825621,.12359717,1,14.181357,-2.2758811,0,3.4820497,6.4277034,3.8154118,75.50621,18,.84365255,1.9438751,2.0513816,.025350636,.00023224688,.014091397,.00013168066,.0076829498,.000070691429,25775120,18.612768,23.384888,17.06492,23.534676,0,1,1
IVOG,S&P Midcap 400 Growth Index,.02,6.375,.32331792,6698098176,.11001695,.625,.026249999,0,500,-.058883995,.20257139,0,9.7357931,-.71266282,0,4.1610689,,2.5637193,100,20,.082967296,3.7466669,.83321834,.081533849,.00072693732,.052721646,.00047647589,.042707179,.00038373179,1223514.5,14.976889,20.231846,14.017238,22.62509,0,1,0
IVOV,S&P Midcap 400 Value Index,.023499999,6.375,.22064917,5813719552,.77392,.65000004,.029999999,0,500,-.049044855,.43906784,0,14.217113,-1.2172565,0,3.0965989,6.7132034,3.3682382,98.989769,20,.079691179,5.8390288,1.0771763,.10751074,.0010165267,.064235881,.00062051084,.051744685,.00049970538,1032316.3,14.495922,20.061924,13.847316,22.483486,0,1,0
