,index_name,index_id,competition,top3_issuer,d_OwnIndex,ratio_tii,ratio_tra,aum_index,num_hold_index,volume_index,spread_index
0,ARK Israeli Innovation Index,ARK Israeli Innovation Index,0,0.0,1,0.7474361790782815,0.048923620413780435,24124596.54119897,45.119170984455955,346837.64511731267,81.01918605735402
1,Acquirers Deep Value Index,Acquirers Deep Value Index,0,0.0,1,0.7174514261519015,0.35154408008696303,22650766.666666668,49.007462686567166,232174.23052592593,26.03182439811663
2,Acquirers Index,Acquirers Index,0,0.0,1,0.8741477941281584,0.19090025900691004,14999510.2905569,62.01937046004843,178689.64080823245,22.844955092902943
3,Adaptive Wealth Strategies U.S. Factor Index,Adaptive Wealth Strategies U.S. Factor Index,0,0.0,1,0.995762954488581,0.02092552935989449,140298138.94416526,208.84615384615384,695804.0156040472,32.845242048581184
4,Alerian Energy Infrastructure USD,Alerian Energy Infrastructure USD,0,0.0,1,0.7720364645820418,0.38863294423312694,37879230.52120348,36.547694753577105,353544.65778131434,38.64888142894033
5,Alerian MLP Infrastructure TR USD,Alerian MLP Infrastructure TR USD,0,0.0,1,0.787219322841732,0.25339554988727125,8121088752.747744,25.115262321144673,141311384.96618804,10.128076256909493
6,Alpha Architect Value Momentum Trend Index,Alpha Architect Value Momentum Trend Index,0,0.0,1,0.210543630248683,0.50261288482716,73629271.45021646,5.18073593073593,452064.60956655844,25.474305941946856
7,AlphaClone Hedge Fund Long/Short TR USD,AlphaClone Hedge Fund Long/Short TR USD,0,0.0,1,0.9109581579313363,0.3821423319515803,33957481.24228028,53.85873015873016,231107.18031543941,20.382900430647013
8,AlphaFactor US Core Equity Index,AlphaFactor US Core Equity Index,0,0.0,1,0.9867279929639236,0.4722553487412623,67956951.94003527,101.20884955752213,343175.68699223985,28.78890373102164
9,AlphaShares China SC TR USD,AlphaShares China SC TR USD,0,0.0,1,,,82702142.16481303,345.7855769230769,493072.43350086285,17.862320311449476
10,American Energy Independence Index,American Energy Independence Index,0,0.0,1,0.7973879911347092,0.08212285793425522,10006067.2012987,32.495448634590375,108160.08068038961,34.907280555968775
11,Ardour Global Index Extra Liquid,Ardour Global Index Extra Liquid,0,0.0,1,0.8174370781495838,0.245437301023522,67886812.2266914,33.01072386058981,413693.618173368,61.936938552433325
12,Armor US Equity Index,Armor US Equity Index,0,0.0,1,0.6685449678221564,,3504561.2278318587,8.246636771300448,75500.83939513275,35.129120538563406
13,BNY Mellon BRIC Select DR USD,BNY Mellon BRIC Select DR USD,0,0.0,1,,,74721408.11975071,113.62596153846154,347838.812261745,18.615055209632814
14,BONY Developed Markets 100 ADR TR USD,BONY Developed Markets 100 ADR TR USD,0,0.0,1,,,53529495.69807102,85.88739172281039,176184.5143737044,39.46008293170367
