composite_ticker,as_of_date_count,as_of_date_min,as_of_date_max,inception_date_median,max_min_day,time_in_sample
ACIM,1,2019-09-20,2019-09-20,2012-02-27,0,0
ASHR,775,2017-04-03,2020-04-30,2013-11-06,1123,1
DBEF,318,2016-01-01,2017-03-31,2011-06-09,455,0
DBJP,318,2016-01-01,2017-03-31,2011-06-09,455,0
DWAQ,318,2016-01-01,2017-03-31,2003-05-01,455,0
EFIV,110,2020-07-28,2020-12-31,2020-07-27,156,0
EMXC,435,2019-04-12,2020-12-31,2017-07-18,629,0
EQWL,474,2017-04-03,2019-02-20,2006-12-01,688,0
GMM,160,2017-04-03,2017-11-16,2007-03-19,227,0
GWL,160,2017-04-03,2017-11-16,2007-04-20,227,0
HDEE,180,2017-04-03,2017-12-15,2015-08-12,256,0
HDEZ,180,2017-04-03,2017-12-15,2015-08-12,256,0
HEFA,318,2016-01-01,2017-03-31,2014-01-31,455,0
HEWJ,318,2016-01-01,2017-03-31,2014-01-31,455,0
HJPX,347,2016-01-01,2017-05-15,2015-09-29,500,0
IQDE,318,2016-01-01,2017-03-31,2013-04-12,455,0
IQDF,318,2016-01-01,2017-03-31,2013-04-12,455,0
IQDY,318,2016-01-01,2017-03-31,2013-04-12,455,0
IWP,559,2017-04-03,2019-06-21,2001-07-17,809,0
IWR,287,2017-04-03,2018-05-22,2001-07-17,414,0
IWS,559,2017-04-03,2019-06-21,2001-07-17,809,0
IWY,559,2017-04-03,2019-06-21,2009-09-22,809,0
JPNH,347,2016-01-01,2017-05-15,2015-08-19,500,0
KBWR,109,2017-04-03,2017-09-06,2011-11-01,156,0
KEMX,435,2019-04-12,2020-12-31,2019-04-12,629,0
KRU,109,2017-04-03,2017-09-06,2010-04-22,156,0
OEW,474,2017-04-03,2019-02-20,2016-06-30,688,0
ONEK,478,2016-01-01,2017-11-16,2005-11-08,685,0
PDP,318,2016-01-01,2017-03-31,2007-03-01,455,0
PEK,775,2017-04-03,2020-04-30,2010-10-13,1123,1
PXLG,559,2017-04-03,2019-06-21,2011-06-13,809,0
PXMC,287,2017-04-03,2018-05-22,2006-12-01,414,0
PXMG,559,2017-04-03,2019-06-21,2005-02-28,809,0
PXMV,559,2017-04-03,2019-06-21,2005-02-28,809,0
PXSV,559,2017-04-03,2019-06-21,2005-02-28,809,0
SCHE,318,2016-01-01,2017-03-31,2010-01-14,455,0
SMD,137,2017-04-03,2017-10-16,2005-11-08,196,0
SNPE,110,2020-07-28,2020-12-31,2019-06-26,156,0
SPDW,160,2017-04-03,2017-11-16,2007-04-20,227,0
SPEM,160,2017-04-03,2017-11-16,2007-03-20,227,0
SPGM,1,2019-09-20,2019-09-20,2012-02-27,0,0
SPMD,137,2017-04-03,2017-10-16,2005-11-08,196,0
THRK,455,2016-01-01,2017-10-16,2000-10-04,654,0
TWOK,455,2016-01-01,2017-10-16,2013-07-08,654,0
WEXP,241,2017-04-03,2018-03-16,2015-07-21,347,0
WUSA,241,2017-04-03,2018-03-16,2015-07-21,347,0
