ticker,yearqtr,PIH_TRA,PIH_INST,PIH_TII,ST_bushee,TAX_bushee,logret_q,logret_PrevQ,yearmonth,INCEPTION_DATE,RDATE,lend_byAUM_bps,index_id,mer_bps,spread_bps_crsp,logDvol,tr_error_bps,perf_drag_bps,turnover_frac,d_UIT,mkt_share,marketing_fee_bps,NUM_MGRS0,NUM_MGRS1,frac_tiiMGRS,days_since_inc,aum_ETFG,cum_mktg1,frac_ST_MGRS,p75_ST,mer_perc,perf_drag_perc,tr_error_perc,marketing_fee_perc,lend_byAUM_perc,spread_perc_crsp,turnover_
AAXJ,20161,0.091999931,0.269706851,0.193666529,0.341110843,0.718063069,0.022585188,0.029059223,20163,13/08/2008,31/03/2016,2.367708451,Asia ex Japan,69,2.822117912,17.46848401,31.96830201,3.782173138,4.196199164,0,1,0,37,44,0.543209877,2787,2315642727,0,0.197530864,1,0.69,0.037821731,0.31968302,0,0.023677085,0.028221179,0.041961992
AAXJ,20162,0.080125063,0.270608722,0.197027494,0.296091945,0.728089961,0.007097861,0.022585188,20166,13/08/2008,30/06/2016,2.367708451,Asia ex Japan,69,2.372333053,17.6055592,38.95584997,0.093222354,5.178787024,0,1,0,33,47,0.5875,2878,2171242636,0,0.225,1,0.69,0.000932224,0.3895585,0,0.023677085,0.023723331,0.05178787
AAXJ,20163,0.11783494,0.3544066,0.23782506,0.332485174,0.671051442,0.101475877,0.007097861,20169,13/08/2008,30/09/2016,2.367708451,Asia ex Japan,69,2.378538603,18.14857683,33.5341344,0.528555059,6.948153074,0,1,0,32,48,0.6,2970,2771710571,0,0.1875,1,0.69,0.005285551,0.335341344,0,0.023677085,0.023785386,0.069481531
AAXJ,20164,0.106104715,0.335831447,0.231736645,0.315946335,0.690038549,-0.085301626,0.101475877,201612,13/08/2008,31/12/2016,2.367708451,Asia ex Japan,72,2.12690354,18.32649889,30.18298425,-4.167746532,8.328403799,0,1,0,36,51,0.586206897,3062,2752234095,0,0.195402299,1,0.72,-0.041677465,0.301829842,0,0.023677085,0.021269035,0.083284038
AAXJ,20171,0.091649614,0.378641674,0.278153734,0.242048406,0.734609403,0.136122244,-0.085301626,20173,13/08/2008,31/03/2017,2.367708451,Asia ex Japan,72,2.549746789,18.01215508,24.4199177,0.882970666,6.178249748,0,1,0,30,47,0.61038961,3152,2698217455,0,0.207792208,0,0.72,0.008829707,0.244199177,0,0.023677085,0.025497468,0.061782497
AAXJ,20172,0.101916624,0.352647435,0.230477768,0.289004295,0.653564281,0.073458075,0.136122244,20176,13/08/2008,30/06/2017,2.367708451,Asia ex Japan,69,2.285498966,18.17098364,26.83950037,-0.842907562,5.444708341,0,1,0,35,52,0.597701149,3243,3596950000,0,0.195402299,0,0.69,-0.008429076,0.268395004,0,0.023677085,0.02285499,0.054447083
AAXJ,20173,0.09847541,0.423705546,0.312403157,0.232414729,0.737311937,0.068330433,0.073458075,20179,13/08/2008,30/09/2017,2.367708451,Asia ex Japan,69,1.864269291,17.99918065,20.3351701,-2.045737667,3.906124859,0,1,0,36,51,0.586206897,3335,4241145700,0,0.206896552,0,0.69,-0.020457377,0.203351701,0,0.023677085,0.018642693,0.039061249
AAXJ,20174,0.084335919,0.373968707,0.300339502,0.225515979,0.803113993,0.071114748,0.068330433,201712,13/08/2008,31/12/2017,2.367708451,Asia ex Japan,69,1.594397378,18.47444988,26.70534726,-2.691988481,5.684104676,0,1,0,45,60,0.571428571,3427,4710024000,0,0.228571429,0,0.69,-0.026919885,0.267053473,0,0.023677085,0.015943974,0.056841047
AAXJ,20181,0.08783953,0.31339232,0.270796897,0.28028616,0.864082747,0.016254177,0.071114748,20183,13/08/2008,31/03/2018,2.367708451,Asia ex Japan,69,2.744785346,18.10052482,33.38518996,1.638694834,3.672696239,0,0.998069994,0,48,60,0.555555556,3517,4984754762,0,0.194444444,0,0.69,0.016386948,0.3338519,0,0.023677085,0.027447853,0.036726962
AAXJ,20182,0.09842604,0.334776946,0.290441225,0.294004833,0.867566384,-0.073055169,0.016254177,20186,13/08/2008,30/06/2018,2.367708451,Asia ex Japan,69,2.78189293,18.21259263,27.48919617,-3.88974673,4.402192255,0,0.996009892,0,44,60,0.576923077,3608,4631026667,0,0.221153846,1,0.69,-0.038897467,0.274891962,0,0.023677085,0.027818929,0.044021923
