index_name,ST_BUSHEE,st_75_,index_id,RelSPread_crsp,turnover_perc,numholdings_,aum_ETFG_,dvol,sep_ind_,top3_issuer,urgency_mean,urgency_std,aum_ind_bn,dvol_ind_bn,spread_ind_bps,num_const_00,ratio_hu,d_OwnIndex
ARK Israeli Innovation Index,0.280888224,0,ARK Israeli Innovation Index,0.008889596,483.9864573,44.0876494,32906647.76,707824.9689,0,0,0.619126592,0.332887507,0.032906648,0.000707825,88.89595873,0.440876494,0.537672766,1
Acquirers Deep Value Index,0.718469248,1,Acquirers Deep Value Index,0.002582414,246.9325302,52.04132231,23698779.17,232374.5889,0,0,0.869531103,0.798983443,0.023698779,0.000232375,25.8241355,0.520413223,0.918867007,1
Acquirers Index,0.697767425,1,Acquirers Index,0.002580911,232.4756728,62.06719368,18422731.08,167877.7306,0,0,0.461417266,0.371862731,0.018422731,0.000167878,25.80910505,0.620671937,0.805914209,1
Adaptive Wealth Strategies U.S. Factor Index,0.012259227,0,Adaptive Wealth Strategies U.S. Factor Index,0.004508748,100.5450444,224.6761134,151326869.9,594099.599,0,0,0.466402413,0.286020956,0.15132687,0.0005941,45.08747828,2.246761134,0.613249306,1
Alerian Energy Infrastructure USD,0.17185865,0,Alerian Energy Infrastructure USD,0.003165614,379.8735487,36.39516129,38684830.52,545527.7732,0,0,0.685640218,0.359478498,0.038684831,0.000545528,31.65614037,0.363951613,0.524296108,1
Alerian MLP Infrastructure TR USD,0.202538586,0,Alerian MLP Infrastructure TR USD,0.001251072,698.6028101,21.10483871,4356615138,121405924.1,0,0,1.119716438,0.727158623,4.356615138,0.121405924,12.51071829,0.211048387,0.64941319,1
Alpha Architect Value Momentum Trend Index,0.726628924,1,Alpha Architect Value Momentum Trend Index,0.003148968,132.1445244,5.901185771,52044121.51,296768.3629,0,0,0.98428802,0.727347573,0.052044122,0.000296768,31.48968353,0.059011858,0.738958068,1
AlphaClone Hedge Fund Long/Short TR USD,0.408389302,0,AlphaClone Hedge Fund Long/Short TR USD,0.002553526,154.2926901,40.71936759,24276694.22,141157.7257,0,0,0.784525501,0.566254539,0.024276694,0.000141158,25.5352604,0.407193676,0.721779646,1
AlphaFactor US Core Equity Index,0.661754056,1,AlphaFactor US Core Equity Index,0.002771902,99.06555807,102.1778656,76204061.75,298098.5799,0,0,1.705739833,1.895462729,0.076204062,0.000298099,27.71901738,1.021778656,1.111226163,1
AlphaShares China SC TR USD,0.425600466,0,AlphaShares China SC TR USD,0.001771664,277.603633,316.9677419,53556991.5,593117.3269,0,0,0.7126317,0.411765572,0.053556992,0.000593117,17.71663556,3.169677419,0.577809789,1
American Energy Independence Index,0.159068995,0,American Energy Independence Index,0.005687314,190.3325323,33.90909091,11985372.51,86438.29051,0,0,1.017060626,0.548012563,0.011985373,8.64E-05,56.87313547,0.339090909,0.538819957,1
Ardour Global Index Extra Liquid,0.249955403,0,Ardour Global Index Extra Liquid,0.005990759,159.2942107,32.32270916,138209582.8,990286.8722,0,0,0.720048356,0.392852291,0.138209583,0.000990287,59.90759206,0.323227092,0.545591539,1
Armor US Equity Index,,0,Armor US Equity Index,0.00358585,455.8954592,8.140186916,3720139.913,59676.65074,0,0,0.772903545,0.111750288,0.00372014,5.97E-05,35.85850058,0.081401869,0.144585038,1
BNY Mellon BRIC Select DR USD,0.344149674,0,BNY Mellon BRIC Select DR USD,0.001153488,226.8458626,117.7741935,60762861.08,538161.3972,0,0,0.930727667,0.615057413,0.060762861,0.000538161,11.53487776,1.177741935,0.660834995,1
BONY Developed Markets 100 ADR TR USD,0.75859701,1,BONY Developed Markets 100 ADR TR USD,0.00343695,179.581079,85,27045283.1,214711.3406,0,0,0.579131252,0.358256612,0.027045283,0.000214711,34.36949861,0.85,0.618610394,1
BONY Emerging Markets 50 ADR TR USD,0.379506845,0,BONY Emerging Markets 50 ADR TR USD,0.004478331,98.61525347,50.47035573,132574677.9,537860.5384,0,0,0.751533629,0.453015734,0.132574678,0.000537861,44.78330817,0.504703557,0.602788374,1
BONY Europe 100 ADR TR,0.738702347,1,BONY Europe 100 ADR TR,0.005520062,58.52859086,73.03225806,9763452.992,22861.68876,0,0,0.579818948,0.307300048,0.009763453,2.29E-05,55.20062357,0.730322581,0.529993111,1
BONY New Frontier DR TR USD,0.201534332,0,BONY New Frontier DR TR USD,0.002187641,306.825274,65.51612903,60864581.75,740088.3193,0,0,0.783532778,0.466411705,0.060864582,0.000740088,21.87641193,0.65516129,0.595267637,1
