,ticker,index_id,lend_byAUM_bps,mer_bps,spread_bps_crsp,volume,tr_error_bps,perf_drag_bps,turnover_frac,d_UIT,mkt_share,marketing_fee_bps,aum,aum_index,highfee,other_expenses,fee_waivers,net_expense_mer,mgr_duration,mgr_duration_tii,mgr_duration_tsi,ratio_tra,ratio_tii,stock_tweets,effectivespread_dollar_ave,effectivespread_percent_ave,effectivespread_dollar_dw,effectivespread_dollar_sw,effectivespread_percent_dw,effectivespread_percent_sw,dollarrealizedspread_lr_ave,percentrealizedspread_lr_ave,dollarrealizedspread_lr_sw,dollarrealizedspread_lr_dw,percentrealizedspread_lr_sw,percentrealizedspread_lr_dw,dollarpriceimpact_lr_ave,percentpriceimpact_lr_ave,dollarpriceimpact_lr_sw,dollarpriceimpact_lr_dw,percentpriceimpact_lr_sw,percentpriceimpact_lr_dw,log_volume,log_aum_index
0,ACWI,All World,0.770065066,32.25,2.9853257149999997,206391128.3920319,35.417973094000004,-0.9152926136999999,5.8508107849,0.0,0.4586004118,0.0,8872573268.6,19467781153.000008,1.0,0.025,-0.0025,0.022500000000000003,4.793546432034974,5.020293712382539,5.01417515398222,0.3011338311715991,88.97854005335057,-0.0755628193299752,0.008706925588574253,0.00012898324122335043,0.012155162280922957,0.012160314044681677,0.0001803953651086358,0.00018049126996792057,0.0008414627105293122,1.3259384680921308e-05,0.005217990723438414,0.005209106652640467,7.895980990275378e-05,7.880072214669085e-05,0.007864692590993832,0.00011571341102550147,0.006943297759421915,0.006947180878694549,0.00010155287393086284,0.00010161835458434858,19.14528360805116,23.69202668748398
1,ACWX,MSCI ACWI ex-US Index,0.0,32.25,4.2068369971,59405198.78716348,72.6221274665,-1.38250968405,4.72482637905,0.0,0.6865674594,0.0,2976281176.45,4332181858.894999,1.0,0.05,-0.005,0.045000000000000005,5.91628855907959,5.81910245967819,6.121849310386664,0.15136673619832536,64.45730237594218,-0.0776453477983314,0.00898240674342721,0.00020212399396918389,0.012246772595004713,0.01224747823157196,0.0002771795137727969,0.0002772013815391031,0.002011773164556907,4.375512966150225e-05,0.0063871079173522995,0.006385663801561259,0.00014558143512612677,0.00014553495405957828,0.006969445872416083,0.00015834279278549682,0.005855078556190652,0.005855827691725629,0.00013150361777029165,0.00013152845320793456,17.899892302172493,22.189337145558344
2,CQQQ,China Technology Sector,0.4883852859999999,70.0,20.32373742755,6550193.122028757,51.875500470999995,0.9901049791999998,3.89421643755,0.0,0.22399434515,0.0,427636575.581,1826049014.0460002,0.0,0.0,0.0,0.0,4.769134848741295,4.865050794529123,6.10549353077317,0.428174220435706,89.19183542173587,-0.07640849703781818,0.06316492810407548,0.0014250683519855408,0.08606630765934856,0.08604933544857384,0.0018955067351930353,0.0018952637988112516,0.03687750630784671,0.0008611541873096649,0.050308824004082195,0.050309143582262315,0.0011098755075016672,0.0011096555691033248,0.026273069657805355,0.0005635683489826806,0.035703726209794215,0.03572044354767077,0.000784495684678567,0.0007849600353664508,15.69500509145598,21.325420461062336
3,CWI,MSCI ACWI ex-US Index,1.68996388,30.0,7.7803176157500005,11569131.574949104,71.5027838595,-0.9280362211,2.145518105,0.0,0.3134325406,0.0,1355900682.4450002,4332181858.894999,0.0,0.0,-0.04,-0.04,5.80596841908088,5.856607949064693,6.0271545329198775,0.0690497787863872,69.27634377984774,-0.07455668249675963,0.011113192478575453,0.00037042179152816664,0.01445020955338932,0.014452196774492259,0.0004847165640978892,0.0004848061185519335,0.006879885336075369,0.00022669832056042703,0.010489050028045867,0.010484735638590235,0.00035738471403672984,0.0003571817621183003,0.004233526474924676,0.00014372242303542466,0.003969449597015741,0.003971765840511424,0.00012760229548612354,0.00012771536313038766,16.263851038007907,22.189337145558344
4,EEM,Emerging Markets,4.63322085,69.15,2.43562811335,2744121896.7197957,94.250409023,-0.35656629900000014,24.088732894,0.0,0.34425558835,0.0,29458873105.05,85886311303.90004,1.0,0.0005,0.0,0.0005,5.389932236853707,5.389383665498535,6.196543547322894,0.323532512071452,88.17124678351016,-0.039205900768986585,0.007603497747715143,0.00018779717020856677,0.01580662456350533,0.015801742979646462,0.0003884621454178556,0.000388628720591651,0.000899288724274867,2.197209349880024e-05,0.008098097743834624,0.008102233124422653,0.00019898293236512982,0.00019879477742957533,0.006704411930542264,0.00016583014341294924,0.007712273344899416,0.007712386486700215,0.00018993873921446653,0.00018994048536343641,21.732726968826217,25.176290297055306
5,ENOR,MSCI Norway IMI 25/50 Index,1.422783776,53.0,33.90390735583333,446749.06863122905,29.814412411666666,-1.1412309573333335,3.2783183600909087,0.0,0.17883233224999998,0.0,29253786.617500003,156895444.62166655,1.0,0.0,0.0,0.0,3.5884894339089666,4.365266530179723,4.176724971887097,0.6606308250473476,95.80781898506014,0.0,0.05348783183648143,0.002237710349776163,0.055484292725982154,0.05550234000196689,0.002310705788128042,0.002312093379230958,0.0402937631270028,0.0016552525348514562,0.04266352683933771,0.042820810515455415,0.0017622799903287412,0.001770303886079851,0.013273703595226864,0.0005858500461391757,0.01285411681060253,0.012678746609680125,0.0005505284269819059,0.0005411152303552071,13.009752348254485,18.87109018364039
6,ERUS,Russia,0.0,62.25,10.9109289624,10696037.206488373,32.788699142,-1.76440118275,5.52851421135,0.0,0.24411038745,0.0,498230298.355,2111719213.4300003,0.0,0.0,0.0,0.0,4.831319768369708,6.154992445377699,3.9047070885326223,0.5605791015717182,80.94013997968251,-0.07835997649633761,0.013977288619571792,0.0005011153777666761,0.01973112162661185,0.01973516874844507,0.0007233717883905128,0.0007235062912493587,0.004622132025718996,0.00016118501077223328,0.009786125646225408,0.00978586067625541,0.0003658140028645636,0.0003658188819208994,0.00935603948131833,0.00033997887654152155,0.009932699866405853,0.009928885789790731,0.0003571629680435737,0.00035702244812381857,16.18538387630016,21.47076824576548
7,EWA,Australia,0.0,49.0,5.2218046986,66755583.16014234,135.471293075,-9.1488797077,12.7555585685,0.0,0.991799047,0.0,1331497761.78,1342460030.9021008,1.0,0.0,0.0,0.0,5.681559974293489,5.740908792392867,6.454361942576567,0.3881833139823462,91.56160621963905,-0.07714750682466366,0.007862839676924855,0.0003794717431808501,0.00923535727604791,0.009235877625393286,0.0004463611013421121,0.0004464086502744989,0.0018031040116999002,8.57390541236152e-05,0.0017644226887953457,0.001762323027761047,8.768837545624038e-05,8.755798399736142e-05,0.006059604313951869,0.00029372856925592483,0.007471762772067847,0.007473341234389236,0.00035874046707890764,0.000358823244554527,18.01654849459534,21.017769611764134
8,EWG,Germany,1.207105673,49.0,3.8348274246000003,126948137.99746282,90.18752236200001,-4.5157308072,13.5446048742,0.0,0.9952477252999999,0.0,2372407440.4,2384319648.6925,1.0,0.0,0.0,0.0,5.8302419188077685,6.061600153806367,6.235274982645916,0.4710572059120367,94.88295860826915,-0.07533304423908692,0.0083206724429638,0.0003026811461567652,0.010167757232527854,0.010168372501083652,0.0003713340283094971,0.00037136269953316097,0.0013755772106998328,5.043460931726178e-05,0.002538649320318563,0.0025389402694956506,9.69722810386771e-05,9.697932220558848e-05,0.006945453555575182,0.0002522602781366794,0.007629729174052561,0.007628827255145627,0.0002743959496750071,0.0002743604319329254,18.659289198795605,21.592179657988876
9,EWH,Hong Kong,0.353512471,49.0,4.5624062117,139107146.59401852,36.195839065,-2.8575512734,20.4838670864,0.0,0.9902012199,0.0,1892519058.0,1909537147.6430004,1.0,0.0,0.0,0.0,4.5787558221092635,4.7705473810746515,5.667739100530788,0.35964634497920206,98.4310970442516,-0.07566714119772142,0.0070886372356330375,0.00030417896176005755,0.010194039096002085,0.010193859306755478,0.0004396927693790659,0.0004396864830272915,0.0017319646311699847,7.30782506736295e-05,0.002565703847458448,0.0025655408996330684,0.0001112828418930486,0.00011127113200879533,0.005355023017241207,0.00023103046265368984,0.007599116299554995,0.0075994084150498905,0.0003271972263912366,0.00032721312823308704,18.75075503295721,21.370126718561067
