,index,yearqtr,diff_mkt_share,diff_tr_error_bps,diff_tr_difference_bps,diff_mer_bps,diff_turnover_frac,diff_logDvol,diff_tr_error_perc,diff_tr_difference_perc,diff_lend_byAUM_bps,diff_marketing_fee_bps,diff_vol_share,diff_urgency_mean,diff_spread_bps_etfg,diff_spread_bps_crsp,ix_urgency_mean,ix_urgency_median,ix_urgency_std,aum_index,VIX,vix_resid,vix_plus,vix_minus
0,All World,20161,-0.004462334,1.548662860000004,6.283255811999999,19.0,2.3215663250000005,0.6379738900000014,0.015486629,0.062832559,-1.87642776,-0.5,0.3085906243554018,0.1277362692160046,-514.7050714,-0.2147983059999998,0.8928498433865664,0.7826592617965367,0.6665948197222804,10867635976.0,20.486229508196722,3.34511271181686,3.34511271181686,-0.0
1,All World,20161,-0.004462334,1.548662860000004,6.283255811999999,19.0,2.3215663250000005,0.6379738900000014,0.015486629,0.062832559,-1.87642776,-0.5,0.3085906243554018,0.1277362692160046,-514.7050714,-0.2147983059999998,0.8928498433865664,0.7826592617965367,0.6665948197222804,10867635976.0,20.486229508196722,3.34511271181686,3.34511271181686,-0.0
2,All World,20162,-0.0024936939999999,12.64078215,-0.124154406,19.0,3.064148959,0.8759259300000011,0.1264078209999999,-0.001241545,-1.87642776,-0.5,0.4119545257886256,0.0993894199639736,-4.82665439,-0.2625645089999999,0.90408574872899,0.7843516736768171,0.663660096459896,11039204043.0,15.675937500000002,-3.842188261928152,0.0,3.842188261928152
3,All World,20162,-0.0024936939999999,12.64078215,-0.124154406,19.0,3.064148959,0.8759259300000011,0.1264078209999999,-0.001241545,-1.87642776,-0.5,0.4119545257886256,0.0993894199639736,-4.82665439,-0.2625645089999999,0.90408574872899,0.7843516736768171,0.663660096459896,11039204043.0,15.675937500000002,-3.842188261928152,0.0,3.842188261928152
4,All World,20163,-0.0553918099999999,11.062747280000004,4.669916669,19.0,3.889830303,1.2344542300000008,0.110627473,0.046699166,-1.87642776,-0.5,0.5491944354722431,0.1312739817684737,-5.850895691,-0.4954773899999998,0.9030817394530534,0.8199759413033982,0.6382888625009839,11570023601.0,13.233906249999997,-2.9728153507895527,0.0,2.9728153507895527
5,All World,20163,-0.0553918099999999,11.062747280000004,4.669916669,19.0,3.889830303,1.2344542300000008,0.110627473,0.046699166,-1.87642776,-0.5,0.5491944354722431,0.1312739817684737,-5.850895691,-0.4954773899999998,0.9030817394530534,0.8199759413033982,0.6382888625009839,11570023601.0,13.233906249999997,-2.9728153507895527,0.0,2.9728153507895527
6,All World,20164,-0.0488041079999999,0.0738785100000001,-2.1482426970000006,19.0,3.459198883,0.644181139999997,0.0007387859999999,-0.021482427,-1.87642776,-0.5,0.3113960009597722,0.210634868660525,-1.858705502,-0.574745077,0.9853005885940352,0.8652022051125059,1.311990172138471,12002873346.0,14.097936507936511,-0.42769121557883594,0.0,0.42769121557883594
7,All World,20164,-0.0488041079999999,0.0738785100000001,-2.1482426970000006,19.0,3.459198883,0.644181139999997,0.0007387859999999,-0.021482427,-1.87642776,-0.5,0.3113960009597722,0.210634868660525,-1.858705502,-0.574745077,0.9853005885940352,0.8652022051125059,1.311990172138471,12002873346.0,14.097936507936511,-0.42769121557883594,0.0,0.42769121557883594
8,All World,20171,-0.0272354539999999,0.3057800999999998,1.387948352,20.35,2.6473661280000003,0.690182870000001,0.0030578009999999,0.013879483,-1.87642776,-0.5,0.3320152117182638,0.1904647829697413,-4.82952105,-0.0129642019999998,1.0226261714660991,0.8988106593660173,1.333810876497597,13337562030.0,11.691935483870967,-3.428490515217929,0.0,3.428490515217929
9,All World,20171,-0.0272354539999999,0.3057800999999998,1.387948352,20.35,2.6473661280000003,0.690182870000001,0.0030578009999999,0.013879483,-1.87642776,-0.5,0.3320152117182638,0.1904647829697413,-4.82952105,-0.0129642019999998,1.0226261714660991,0.8988106593660173,1.333810876497597,13337562030.0,11.691935483870967,-3.428490515217929,0.0,3.428490515217929
