,yearqtr,lend_byAUM_bps,yearmonth,index_id,mer_bps,spread_bps_crsp,tr_error_bps,perf_drag_bps,d_UIT,mkt_share,marketing_fee_bps,ix_urgency_std,ix_ratio_hu,ticker,d_lwc,Date,follow_inc_date,dif_date,AUM_q
0,20171,2.3677084513231357,20171,Asia ex Japan,72.00000000000001,2.2579336790736995,19.521422208914046,3.2425017984449984,0,1.0,0.0,0.634010781,0.6610782829053025,AAXJ,0,2017-03-31,2018-02-06,-312,2650508.687911495
1,20171,2.3677084513231357,20172,Asia ex Japan,72.00000000000001,2.7977254007847696,14.00022740252748,0.4802409246892326,0,1.0,0.0,0.634010781,0.6610782829053025,AAXJ,0,2017-03-31,2018-02-06,-312,2650508.687911495
2,20171,2.3677084513231357,20173,Asia ex Japan,72.00000000000001,2.5497467891508347,24.41991770094197,0.8829706657883218,0,1.0,0.0,0.634010781,0.6610782829053025,AAXJ,0,2017-03-31,2018-02-06,-312,2650508.687911495
3,20172,2.3677084513231357,20174,Asia ex Japan,68.99999999999997,1.999545555565623,17.540276630803,0.8081387259428753,0,1.0,0.0,0.70006652,0.7142685144393653,AAXJ,0,2017-06-30,2018-02-06,-221,3293552.4180336604
4,20172,2.3677084513231357,20175,Asia ex Japan,68.99999999999996,1.9305017045711537,20.007805982712963,2.2815409109228306,0,1.0,0.0,0.70006652,0.7142685144393653,AAXJ,0,2017-06-30,2018-02-06,-221,3293552.4180336604
5,20172,2.3677084513231357,20176,Asia ex Japan,68.99999999999996,2.285498966244847,26.83950037407823,-0.8429075619325084,0,1.0,0.0,0.70006652,0.7142685144393653,AAXJ,0,2017-06-30,2018-02-06,-221,3293552.4180336604
6,20173,2.3677084513231357,20177,Asia ex Japan,68.99999999999997,1.812889001033032,18.424911920604785,2.6405800245001085,0,1.0,0.0,0.825356901,0.7864985848513544,AAXJ,0,2017-09-29,2018-02-06,-130,4114983.535960364
7,20173,2.3677084513231357,20178,Asia ex Japan,68.99999999999996,1.7140110132875899,18.60635091509451,0.5808192734556118,0,1.0,0.0,0.825356901,0.7864985848513544,AAXJ,0,2017-09-29,2018-02-06,-130,4114983.535960364
8,20173,2.3677084513231357,20179,Asia ex Japan,68.99999999999997,1.8642692912030447,20.33517010092268,-2.045737666566393,0,1.0,0.0,0.825356901,0.7864985848513544,AAXJ,0,2017-09-29,2018-02-06,-130,4114983.535960364
9,20174,2.3677084513231357,201710,Asia ex Japan,68.99999999999996,1.5265635866455547,15.020453079758848,-1.1865279758742673,0,1.0,0.0,0.792502619,0.7549842389534805,AAXJ,0,2017-12-29,2018-02-06,-39,4572326.529729934
10,20174,2.3677084513231357,201711,Asia ex Japan,68.99999999999997,1.431577838517299,16.62575818941068,2.0292893913587564,0,1.0,0.0,0.792502619,0.7549842389534805,AAXJ,0,2017-12-29,2018-02-06,-39,4572326.529729934
11,20174,2.3677084513231357,201712,Asia ex Japan,68.99999999999997,1.5943973779521878,26.705347261320266,-2.691988480753326,0,1.0,0.0,0.792502619,0.7549842389534805,AAXJ,0,2017-12-29,2018-02-06,-39,4572326.529729934
12,20181,2.3677084513231357,20181,Asia ex Japan,68.99999999999997,1.780965701931181,18.692632154371,3.5908459267337656,0,1.0,0.0,0.67891603,0.6556123962084291,AAXJ,1,2018-03-30,2018-02-06,52,5079027.278237265
13,20181,2.3677084513231357,20182,Asia ex Japan,68.99999999999997,2.3891249181075263,41.723236563556696,-4.476829980413068,0,0.9980909987427635,0.0,0.67891603,0.6556123962084291,AAXJ,1,2018-03-30,2018-02-06,52,5079027.278237265
14,20181,2.3677084513231357,20183,Asia ex Japan,68.99999999999997,2.744785346208103,33.38518995920918,1.638694834171434,0,0.9980699937810196,0.0,0.67891603,0.6556123962084291,AAXJ,1,2018-03-30,2018-02-06,52,5079027.278237265
15,20182,2.3677084513231357,20184,Asia ex Japan,68.99999999999997,2.978659977449252,24.02067793773521,-2.317748627448139,0,0.9980702756603583,0.0,0.705232223,0.6979525541300368,AAXJ,1,2018-06-29,2018-02-06,143,4764570.808553696
16,20182,2.3677084513231357,20185,Asia ex Japan,68.99999999999996,2.855233020348218,23.315985226031533,-0.5729311489211123,0,0.9965295390955026,0.0,0.705232223,0.6979525541300368,AAXJ,1,2018-06-29,2018-02-06,143,4764570.808553696
17,20182,2.3677084513231357,20186,Asia ex Japan,68.99999999999997,2.781892930494849,27.489196173192063,-3.889746729960287,0,0.9960098916402451,0.0,0.705232223,0.6979525541300368,AAXJ,1,2018-06-29,2018-02-06,143,4764570.808553696
18,20183,2.3677084513231357,20187,Asia ex Japan,68.99999999999997,2.585388766193334,22.256347877866826,1.0448466540955743,0,0.9958682200615055,0.0,0.64971246,0.6741093062975746,AAXJ,1,2018-09-28,2018-02-06,234,4173187.899005224
19,20183,2.3677084513231357,20188,Asia ex Japan,68.99999999999996,3.118348995811223,21.50043293325011,-0.46985438378713545,0,0.9958492854840308,0.0,0.64971246,0.6741093062975746,AAXJ,1,2018-09-28,2018-02-06,234,4173187.899005224
20,20183,2.3677084513231357,20189,Asia ex Japan,68.99999999999997,2.5618013434535576,24.164358605865413,-1.2982990846209486,0,0.9956653594410211,0.0,0.64971246,0.6741093062975746,AAXJ,1,2018-09-28,2018-02-06,234,4173187.899005224
21,20184,2.3677084513231357,201810,Asia ex Japan,68.99999999999996,4.102926324282795,31.776473441927724,-1.5824390016467202,0,0.9955158355058961,0.0,0.620725271,0.636662474086228,AAXJ,1,2018-12-31,2018-02-06,328,3726782.310594831
22,20184,2.3677084513231357,201811,Asia ex Japan,68.99999999999997,4.08541648425074,30.061440756838707,0.9155280369806795,0,0.995580340329136,0.0,0.620725271,0.636662474086228,AAXJ,1,2018-12-31,2018-02-06,328,3726782.310594831
23,20184,2.3677084513231357,201812,Asia ex Japan,68.99999999999997,4.575850022867717,39.79299813920593,-5.683961481990218,0,0.9960016191083001,0.0,0.620725271,0.636662474086228,AAXJ,1,2018-12-31,2018-02-06,328,3726782.310594831
24,20161,4.312109617438164,20161,MSCI All Argentina 25/50 Index,75.0,71.18688399112729,40.57223180022307,-1.8537806886942296,0,1.0,0.0,,,ARGT,0,2016-03-31,2017-04-25,-390,28142.29980414031
25,20161,4.312109617438164,20162,MSCI All Argentina 25/50 Index,75.0,51.15656837544081,38.02397354512581,3.5686395840623346,0,1.0,0.0,,,ARGT,0,2016-03-31,2017-04-25,-390,28142.29980414031
26,20161,4.312109617438164,20163,MSCI All Argentina 25/50 Index,75.0,35.142517206591606,31.968302008307504,3.7821731376777485,0,1.0,0.0,,,ARGT,0,2016-03-31,2017-04-25,-390,28142.29980414031
27,20162,4.312109617438164,20164,MSCI All Argentina 25/50 Index,75.0,26.84398140498549,26.12252023229027,3.5683223856624515,0,1.0,0.0,,,ARGT,0,2016-06-30,2017-04-25,-299,69561.55975908041
