,ticker,DATE,yearqtr,aum_ETFG,dvol_,numholdings,tr_error,perf_drag,RelSPread_etfg,RelativeSPread_crsp,net_exp_ratio_etfg,turnoverPerc,INCEPTION_DATE,sequence_of_entry,tr_error_avg,perf_drag_avg,mer_bps,spread_bps_etfg,spread_bps_crsp,logDvol,tr_error_bps,tr_difference_bps,tr_error_perc,tr_difference_perc,turnover_frac,tr_difference,d_UIT,aum_index,mkt_share,fdate,urgency_mean,urgency_median,urgency_min,urgency_max,urgency_std,urgency_q25,urgency_q75,index,d_sameind,launch_order,urgency_range,ix_urgency_mean,ix_urgency_median,ix_urgency_min,ix_urgency_max,ix_urgency_std,ix_urgency_q25,ix_urgency_q75,vol_share,lend_byAUM_bps,marketing_fee_bps
0,AAXJ,3/31/2016,20161,2315642727.0,38589238.83,626.0,0.00319683,0.000378217,0.021216373,0.000282212,0.69,419.6199164,8/13/2008,1,0.00319683,0.000378217,69.0,212.1637273,2.822117912,17.46848401,31.96830201,3.782173138,0.31968302,0.037821731,4.196199164,0.000378217,0,2315642727.0,1.0,2016-03-31,0.9112579121248277,0.7826218823736915,0.0014067715611261,3.694050362553342,0.6257521250116673,0.5184604216052123,1.164758090795844,Asia ex Japan,1.0,1.0,3.692643590992216,0.9112579121248277,0.7826218823736915,0.0014067715611261,3.694050362553342,0.6257521250116673,0.5184604216052123,1.164758090795844,1.0,2.367708451,0.0
1,AAXJ,6/30/2016,20162,2171242636.0,44258552.94,624.9545455,0.003895585,9.32224e-06,0.000193489,0.000237233,0.69,517.8787024,8/13/2008,1,0.003895585,9.32224e-06,69.0,1.934894152,2.372333053,17.6055592,38.95584997,0.093222354,0.3895585,0.000932224,5.178787024,9.32224e-06,0,2171242636.0,1.0,2016-06-30,0.8517462069043354,0.7570373560049424,0.0014067715611261,3.694050362553342,0.6049713895984485,0.4795327814552191,1.1109943121332218,Asia ex Japan,1.0,1.0,3.692643590992216,0.8517462069043354,0.7570373560049424,0.0014067715611261,3.694050362553342,0.6049713895984485,0.4795327814552191,1.1109943121332218,1.0,2.367708451,0.0
2,AAXJ,9/30/2016,20163,2771710571.0,76177509.58,626.6666667,0.003353413,5.28555e-05,0.000173902,0.000237854,0.69,694.8153074,8/13/2008,1,0.003353413,5.28555e-05,69.0,1.739019536,2.378538603,18.14857683,33.5341344,0.528555059,0.335341344,0.005285551,6.948153074,5.28555e-05,0,2771710571.0,1.0,2016-09-30,0.9679855261426886,0.8182196293125239,0.0014067715611261,3.9648314327892735,0.6931468059854637,0.5388370927958468,1.199891482764895,Asia ex Japan,1.0,1.0,3.963424661228148,0.9679855261426886,0.8182196293125239,0.0014067715611261,3.9648314327892735,0.6931468059854637,0.5388370927958468,1.199891482764895,1.0,2.367708451,0.0
3,AAXJ,12/31/2016,20164,2752234095.0,91011724.3,628.9047619,0.003018298,-0.000416775,0.000195912,0.00021269,0.72,832.8403799,8/13/2008,1,0.003018298,-0.000416775,72.0,1.959122877,2.12690354,18.32649889,30.18298425,-4.167746532,0.301829842,-0.041677465,8.328403799,-0.000416775,0,2752234095.0,1.0,2016-12-31,0.9089168061653388,0.7940945747607989,0.0014067715611261,4.483395664432695,0.6707450653929588,0.4997955458174924,1.152083658242817,Asia ex Japan,1.0,1.0,4.481988892871569,0.9089168061653388,0.7940945747607989,0.0014067715611261,4.483395664432695,0.6707450653929588,0.4997955458174924,1.152083658242817,1.0,2.367708451,0.0
4,AAXJ,3/31/2017,20171,2698217455.0,66462941.68,629.5454545,0.002441992,8.82971e-05,0.007296896,0.000254975,0.72,617.8249748,8/13/2008,1,0.002441992,8.82971e-05,72.0,72.9689609,2.549746789,18.01215508,24.4199177,0.882970666,0.244199177,0.008829707,6.178249748,8.82971e-05,0,2698217455.0,1.0,2017-03-31,0.9590555271760676,0.8988106593660173,0.031649955323353,4.483395664432695,0.6340107811506909,0.5465106244628353,1.2673395619949388,Asia ex Japan,1.0,1.0,4.451745709109343,0.9590555271760676,0.8988106593660173,0.031649955323353,4.483395664432695,0.6340107811506909,0.5465106244628353,1.2673395619949388,1.0,2.367708451,0.0
5,AAXJ,6/30/2017,20172,3596950000.0,77903671.68,654.6363636,0.00268395,-8.42908e-05,,0.00022855,0.69,544.4708341,8/13/2008,1,0.00268395,-8.42908e-05,69.0,,2.285498966,18.17098364,26.83950037,-0.842907562,0.268395004,-0.008429076,5.444708341,-8.42908e-05,0,3596950000.0,1.0,2017-06-30,0.9801167290424324,0.8988106593660173,0.0070961972035792,4.483395664432695,0.7000665199161028,0.5361610055868862,1.257626211122591,Asia ex Japan,1.0,1.0,4.476299467229116,0.9801167290424324,0.8988106593660173,0.0070961972035792,4.483395664432695,0.7000665199161028,0.5361610055868862,1.257626211122591,1.0,2.367708451,0.0
6,AAXJ,9/30/2017,20173,4241145700.0,65606192.79,651.25,0.002033517,-0.000204574,,0.000186427,0.69,390.6124859,8/13/2008,1,0.002033517,-0.000204574,69.0,,1.864269291,17.99918065,20.3351701,-2.045737667,0.203351701,-0.020457377,3.906124859,-0.000204574,0,4241145700.0,1.0,2017-09-30,1.0494067212453213,0.9107312995037044,0.031649955323353,6.123238693935494,0.8253569009301154,0.5485119094601727,1.2542031576683823,Asia ex Japan,1.0,1.0,6.091588738612141,1.0494067212453213,0.9107312995037044,0.031649955323353,6.123238693935494,0.8253569009301154,0.5485119094601727,1.2542031576683823,1.0,2.367708451,0.0
7,AAXJ,12/31/2017,20174,4710024000.0,105524095.7,666.1,0.002670535,-0.000269199,,0.00015944,0.69,568.4104676,8/13/2008,1,0.002670535,-0.000269199,69.0,,1.594397378,18.47444988,26.70534726,-2.691988481,0.267053473,-0.026919885,5.684104676,-0.000269199,0,4710024000.0,1.0,2017-12-31,1.049694255619927,0.9647044905528008,0.031649955323353,6.123238693935494,0.7925026185563124,0.5653990077788725,1.29075044155511,Asia ex Japan,1.0,1.0,6.091588738612141,1.049694255619927,0.9647044905528008,0.031649955323353,6.123238693935494,0.7925026185563124,0.5653990077788725,1.29075044155511,1.0,2.367708451,0.0
8,AAXJ,3/31/2018,20181,4984754762.0,72603581.84,665.1428571,0.003338519,0.000163869,0.019417,0.000274479,0.69,367.2696239,8/13/2008,1,0.003338519,0.000163869,69.0,194.17,2.744785346,18.10052482,33.38518996,1.638694834,0.3338519,0.016386948,3.672696239,0.000163869,0,4994393973.0,0.998069994,2018-03-31,1.0418181170130183,0.9517888599632452,0.0148015115332123,4.483395664432695,0.6796997470631934,0.5774069556394792,1.2809606244265976,Asia ex Japan,1.0,1.0,4.468594152899483,1.0355448338928528,0.9498323476919376,0.0148015115332123,4.483395664432695,0.6789160303930897,0.5769322051570247,1.2787446246057923,0.999894042799877,2.367708451,0.0
9,AAXJ,6/30/2018,20182,4631026667.0,81213547.05,820.7619048,0.00274892,-0.000388975,0.006825762,0.000278189,0.69,440.2192255,8/13/2008,1,0.00274892,-0.000388975,69.0,68.25761905,2.78189293,18.21259263,27.48919617,-3.88974673,0.274891962,-0.038897467,4.402192255,-0.000388975,0,4649578991.0,0.996009892,2018-06-30,1.0220549889629045,0.9340440498044944,0.0041445650807386,4.483395664432695,0.7074779615531022,0.5477430778681419,1.2891161656595462,Asia ex Japan,1.0,1.0,4.4792510993519565,1.0104300335440468,0.9114191667969754,0.0041445650807386,4.483395664432695,0.7052322227488047,0.5361610055868862,1.2831547555082263,0.9998523392106606,2.367708451,0.0
