,index_id,ticker,issuer,inception,primary_benchmark,lead_market_maker,aum
0,All World,ACWI,Blackrock,2008-03-26,MSCI ACWI NR USD,Susquehanna,8872573268.6
1,All World,VT,Vanguard,2008-06-24,FTSE Global All Cap TR USD,Cantor Fitzgerald,10595207884.4
2,All World Ex US,VXUS,Vanguard,2011-01-26,FTSE Global All Cap ex US TR USD,KCG,12996232091.55
3,All World Ex US,VEU,Vanguard,2007-03-02,FTSE AW Ex US TR USD,Jane Street,20826236229.25
4,Asia ex Japan,AAXJ,Blackrock,2008-08-13,MSCI AC Asia Ex Japan NR USD,KCG,3800646687.3
5,Asia ex Japan,FLAX,,2018-02-06,,,16915333.819083337
6,Australia,EWA,Blackrock,1996-03-12,MSCI Australia NR USD,Jane Street,1500385293.34
7,Australia,FLAU,Franklin Templeton Investments,2017-11-02,FTSE Australia Capped Index,Credit Suisse,9422665.476692308
8,Brazil,EWZ,Blackrock,2000-07-10,MSCI Brazil 25/50 NR USD,Goldman Sachs,6328368367.25
9,Brazil,FLBR,Franklin Templeton Investments,2017-11-03,FTSE Brazil Capped Index,Jane Street,57319325.18230769
10,Canada,BBCA,,2018-08-07,,,3194622832.2
11,Canada,EWC,Blackrock,1996-03-12,MSCI Canada NR USD,Virtu Financial,2738450713.05
12,China Technology Sector,CQQQ,Guggenheim,2009-12-08,AlphaShares China Technology USD,Cantor Fitzgerald,427636575.581
13,China Technology Sector,KWEB,KraneShares,2013-07-31,CSI Overseas China Internet GR USD,KCG,1398412438.465
14,Consumer Discretionary Sector,XLY,SSgA,1998-12-16,S&P Consumer Dis Select Sector TR USD,Goldman Sachs,12996667721.45
15,Consumer Discretionary Sector,VCR,Vanguard,2004-01-26,MSCI US IMI/Consumer Discr 25-50 GR USD,Virtu Financial,2673710520.15
16,Consumer Staples Sector,XLP,SSgA,1998-12-16,S&P Cons Staples Select Sector TR USD,Goldman Sachs,10724909820.65
17,Consumer Staples Sector,VDC,Vanguard,2004-01-26,MSCI US IMI/Cons Staples 25-50 GR USD,LaTour,4273434230.65
18,EAFE,VEA,Vanguard,2007-07-20,FTSE Developed ex North America NR USD,Virtu Financial,61485498649.85
19,EAFE,IEFA,Blackrock,2012-10-18,MSCI EAFE IMI NR USD,Jane Street,46840337125.4
20,EAFE Small Cap,SCZ,Blackrock,2007-12-10,MSCI EAFE Small Cap NR USD,KCG,8718889850.2
21,EAFE Small Cap,SCHC,Charles Schwab,2010-01-14,FTSE Dvlp Small Cap Ex US Liquid NR USD,Susquehanna,1787043818.78
22,Emerging Markets,EEM,Blackrock,2003-04-07,MSCI EM NR USD,KCG,29458873105.05
23,Emerging Markets,VWO,Vanguard,2005-03-04,FTSE Emerging NR USD,Jane Street,56427438198.85
24,Energy Sector,VDE,Vanguard,2004-09-23,MSCI US IMI/Energy 25-50 GR USD,Goldman Sachs,3589293736.65
25,Energy Sector,XLE,SSgA,1998-12-16,S&P Energy Select Sector TR USD,Goldman Sachs,14014201185.05
26,Europe,IEV,Blackrock,2000-07-25,S&P Europe 350 TR USD,Susquehanna,2209841004.45
