,index_name,index_id,competition,top3_issuer,d_OwnIndex,ratio_tii,ratio_tra,aum_index,num_hold_index,volume_index,spread_index
0,ARK Israeli Innovation Index,ARK Israeli Innovation Index,0,0.0,1,0.7180455047965905,0.0641172761196343,24124596.54119912,45.119170984455955,346837.645835927,81.01918166727376
1,Acquirers Deep Value Index,Acquirers Deep Value Index,0,0.0,1,0.730621234033613,0.3406504952183686,22650766.666666668,49.007462686567166,232174.22913579587,26.031809993999982
2,Acquirers Index,Acquirers Index,0,0.0,1,0.8773377464397778,0.1933871079615771,14999510.2905569,62.01937046004843,178689.64074853892,22.844974279238436
3,Adaptive Wealth Strategies U.S. Factor Index,Adaptive Wealth Strategies U.S. Factor Index,0,0.0,1,0.9958576819135003,0.021108874912830016,140298138.94416526,208.84615384615384,695804.0183828669,32.845249430999985
4,Alerian Energy Infrastructure USD,Alerian Energy Infrastructure USD,0,0.0,1,0.7714975533609545,0.38336333902618996,37879230.52120348,36.547694753577105,353544.65736999345,38.64889643258989
5,Alerian MLP Infrastructure TR USD,Alerian MLP Infrastructure TR USD,0,0.0,1,0.7854059036814383,0.2424630640685225,8121088752.746944,25.115262321144673,141311384.8663325,10.12806929235592
6,Alpha Architect Value Momentum Trend Index,Alpha Architect Value Momentum Trend Index,0,0.0,1,0.20206397544047766,0.4910174799714412,73629271.45021646,5.18073593073593,452064.60949793935,25.474301840380033
7,AlphaClone Hedge Fund Long/Short TR USD,AlphaClone Hedge Fund Long/Short TR USD,0,0.0,1,0.9018397038071746,0.39154294600269723,33957481.24228028,53.85873015873016,231107.18111975573,20.38290957399145
8,AlphaFactor US Core Equity Index,AlphaFactor US Core Equity Index,0,0.0,1,0.9861229542324599,0.48095011371423635,67956951.94003527,101.20884955752213,343175.6884597563,28.788899761853312
9,AlphaShares China SC TR USD,AlphaShares China SC TR USD,0,0.0,1,,,165019712.49117082,345.7487969201155,985739.8411819509,17.870719654555806
10,American Energy Independence Index,American Energy Independence Index,0,0.0,1,0.8271777804437184,0.07929394338545764,19948860.195058517,32.493489583333336,216234.6268303329,34.9072273169019
11,Ardour Global Index Extra Liquid,Ardour Global Index Extra Liquid,0,0.0,1,0.8165947968257891,0.2511633338569102,67886812.22669628,33.01072386058981,529655.7294942703,63.67529889830582
12,Armor US Equity Index,Armor US Equity Index,0,0.0,1,0.6877214679043424,,3504561.2278318587,8.246636771300448,75500.8388174825,35.129127076118955
13,BNY Mellon BRIC Select DR USD,BNY Mellon BRIC Select DR USD,0,0.0,1,,,149073516.1925144,113.61693936477383,696085.3726176813,18.62289076796863
14,BONY Developed Markets 100 ADR TR USD,BONY Developed Markets 100 ADR TR USD,0,0.0,1,,,53529495.69807102,85.88739172281039,176184.51390101126,39.46009868835513
15,BONY Emerging Markets 50 ADR TR USD,BONY Emerging Markets 50 ADR TR USD,0,0.0,1,0.8956696442193691,0.24865835530410155,137319092.60920823,50.84444444444444,381371.0292153,34.22892649946403
16,BONY Europe 100 ADR TR,BONY Europe 100 ADR TR,0,0.0,1,,,13993335.269644912,74.1963426371511,38166.95500121968,61.21344381475061
17,BONY New Frontier DR TR USD,BONY New Frontier DR TR USD,0,0.0,1,,,110899188.01541266,85.68431183830606,933097.470477657,30.0605839620355
18,BVP Nasdaq Emerging Cloud Index,BVP Nasdaq Emerging Cloud Index,0,0.0,0,0.2819902374483557,0.07110638532803205,348475329.7768264,52.71378091872791,12961612.75938311,21.5948197151111
19,Barrons 400 TR USD,Barrons 400 TR USD,0,0.0,1,0.8286583411274729,0.7588407266308284,163597863.97992083,399.16162420382165,449530.15902539314,11.793983140356044
20,Beacon Global Timber USD,Beacon Global Timber USD,0,0.0,1,0.6255314965483073,0.2422425895417376,321376225.86074424,86.4888888888889,1261805.7464738153,25.955804592612264
21,Beacon Spin-Off TR USD,Beacon Spin-Off TR USD,0,0.0,1,0.875745552460065,0.35803578716044626,328361682.1702296,51.49047619047619,1111160.9564946855,20.873126473815116
22,Beta Advantage Research Enhanced U.S. Equity Index,Beta Advantage Research Enhanced U.S. Equity Index,0,0.0,1,1.0,0.09621686835512232,36184882.59644859,357.7830188679245,419000.9705643401,41.53579177497177
23,Beta Advantage Research Enhanced U.S. Value Index,Beta Advantage Research Enhanced U.S. Value Index,0,0.0,1,1.0,0.13200267210219416,3700859.2269470403,284.22641509433964,27239.351273646607,31.406673734324762
24,Beta Advantage Sustainable Global Equity Income 200 Index,Beta Advantage Sustainable Global Equity Income 200 Index,0,0.0,1,,,9096649.428681204,216.16932907348243,40611.98388316351,47.017213435134344
25,Beta Advantage Sustainable International Equity Income 100 Index,Beta Advantage Sustainable International Equity Income 100 Index,0,0.0,1,1.0,0.6856206303487526,7762372.4284895845,119.49691085613416,44184.93223558863,92.16286238420032
26,Beta Advantage Sustainable U.S. Equity Income 100 Index,Beta Advantage Sustainable U.S. Equity Income 100 Index,0,0.0,1,0.7684895703212713,0.7833310816946532,4809935.856493056,102.10944395410415,23889.317739648952,45.0400380790346
27,BlueStar 5G Communications Index,BlueStar 5G Communications Index,0,0.0,1,0.7409208958358467,0.14378816363107022,261185297.4676724,70.70410367170626,4608564.508143635,10.109890172392431
28,BlueStar Israel Global TR USD,BlueStar Israel Global TR USD,0,0.0,1,0.9331775443035553,0.5070157377812116,48238206.77488519,134.22098569157393,129791.70217271957,55.4075390735515
29,BlueStar Quantum Computing and Machine Learning Index,BlueStar Quantum Computing and Machine Learning Index,0,0.0,1,0.9970970513464994,0.4495446373638412,17552863.660409555,75.49488054607508,283466.4479310781,17.543830611238526
30,BofA Merrill Lynch Diversified Core U.S. Preferred Securities Index,BofA Merrill Lynch Diversified Core U.S. Preferred Securities Index,0,0.0,1,0.8374624937218836,0.23310688913909777,357085103.82894486,257.76150121065376,3894766.5490677166,20.81520695484087
31,BrandTransact50 Index,BrandTransact50 Index,0,0.0,1,0.9722224088363898,0.9793342243407865,8895591.10619469,50.75160051216389,109957.85036127185,163.7216169008128
32,CBOE NASDAQ-100 BuyWrite USD,CBOE NASDAQ-100 BuyWrite USD,0,0.0,0,0.8260915338201328,0.2632820712934187,865643200.1087886,79.29936305732484,9687920.04419334,22.240661216245364
33,CEMP Emerging Market 500 Volatility Weighted Index,CEMP Emerging Market 500 Volatility Weighted Index,0,0.0,1,0.9926882274548945,0.017170208393585618,27125409.087427143,466.91450125733445,202755.7980123261,45.90167255388126
34,CEMP Emerging Market High Dividend 100 Volatility Weighted Index,CEMP Emerging Market High Dividend 100 Volatility Weighted Index,0,0.0,1,0.9496412344936928,0.17971882663944305,26351888.439450685,100.80524344569288,204553.70516115183,36.780857362267845
35,CEMP International 500 Long/Cash Volatility Weighted Index,CEMP International 500 Long/Cash Volatility Weighted Index,0,0.0,1,0.909705262305913,0.3292875972380895,90123605.33254157,468.8277777777778,529575.2304748812,33.92703783939793
36,CEMP International 500 Volatility Weighted Index,CEMP International 500 Volatility Weighted Index,0,0.0,1,0.9924116557542878,0.019064028814547038,38613674.90973872,485.0625990491284,196301.14778788242,40.00295772163213
37,CEMP International High Dividend 100 Volatility Weighted Index,CEMP International High Dividend 100 Volatility Weighted Index,0,0.0,1,0.9954568836406615,0.042734131881373774,43354844.11876485,100.79080824088749,252240.459707094,37.492917177787824
38,CEMP U.S. Large Cap 500 Long/Cash Volatility Weighted Index,CEMP U.S. Large Cap 500 Long/Cash Volatility Weighted Index,0,0.0,1,0.8610167540418099,0.2538355936495191,591602639.1068884,499.26984126984127,2755331.4149619318,9.023991225557921
