,ticker,index,d_sameind,launch_order,CUSIP
0,AAXJ,Asia ex Japan,1,1.0,46428818
1,ACES,CIBC Atlas Clean Energy Index,0,,00162Q46
2,ACSG,MSCI ACWI ex USA ESG Leaders Index,0,,23305119
3,ACSI,American Customer Satisfaction Investable Index,0,,26922A77
4,ACSI,American Customer Satisfaction Investable Index,0,,88636471
5,ACWF,MSCI ACWI Diversified MultiFactor Index,0,,46434V31
6,ACWI,All World,1,1.0,46428825
7,ACWV,MSCI ACWI Minimum Vol (USD) NR USD,0,,46428652
8,ACWX,MSCI ACWI ex-US Index,1,2.0,46428824
9,ADRA,BONY Asia 50 ADR TR USD,0,,00653H10
10,ADRA,BONY Asia 50 ADR TR USD,0,,46090C10
11,ADRD,BONY Developed Markets 100 ADR TR USD,0,,46090C20
12,ADRE,BONY Emerging Markets 50 ADR TR USD,0,,46090C30
13,ADRU,BONY Europe 100 ADR TR,0,,46090C40
14,AFK,MV GDP Africa NR USD,0,,92189F86
15,AFTY,FTSE CHINA A50 INDEX,0,,12649L10
16,AFTY,FTSE CHINA A50 INDEX,0,,69374H62
17,AGT,MSCI All Argentina 25/50 Index,1,2.0,46435G27
18,AIA,S&P Asia 50 TR USD,0,,46428843
19,AIQ,Indxx Artificial Intelligence & Big Data Index,0,,37954Y63
20,AIQ,Indxx Artificial Intelligence & Big Data Index,0,,01860630
21,AIRR,Richard Bernstein Advisors American Industrial Renaissance USD,0,,33738R70
22,ALFA,AlphaClone Hedge Fund Long/Short TR USD,0,,26922A30
23,ALTL,Lunt Capital U.S. Large Cap Equity Rotation Index,0,,69374H71
24,AMCA,Russell 1000 Pure Domestic Exposure Index,0,,46435G16
25,AMER,Emles American Manufacturing Index,0,,29136170
26,AMLP,Alerian MLP Infrastructure TR USD,0,,00162Q45
27,ANEW,MSCI Global Transformational Changes Index,0,,74347G79
28,ARGT,MSCI All Argentina 25/50 Index,1,1.0,37950E25
29,ARMR,Armor US Equity Index,0,,30151E76
30,ASEA,FTSE/Asean 40,0,,37950E64
31,ASHR,CSI 300 USD,0,,23305187
32,ASHS,China Securities 500 Index,0,,23305175
33,ASHX,CSI 300 USD Hedged Index,0,,23305152
34,AUSF,Adaptive Wealth Strategies U.S. Factor Index,0,,37954Y57
35,AWAY,Prime Travel Technology Index,0,,43739Q10
36,AWAY,Prime Travel Technology Index,0,,26924G77
37,AXJL,WisdomTree Asia Pacific Ex Japan TR USD,0,,97717W82
38,BBAX,Morningstar Developed Asia Pacific ex-Japan Target Market Exposure Index,0,,46641Q23
39,BBC,LifeSci Biotechnology Clinical Trials Index,0,,26923G30
40,BBCA,Canada,1,2.0,46641Q22
41,BBEU,Morningstar Developed Europe Target Market Exposure Index,0,,46641Q19
42,BBH,MV US Listed Biotech 25 NR USD,0,,92189F72
43,BBIN,Morningstar Developed Markets ex-North America Target Market Exposure Index,0,,46641Q37
44,BBJP,Japan,1,2.0,46641Q21
45,BBMC,Morningstar US Mid Cap Target Market Exposure Extended IndexSM,0,,46641Q34
46,BBP,LifeSci Biotechnology Products Index,0,,26923G20
47,BBSC,Morningstar US Small Cap Target Market Exposure Extended Index,0,,46641Q29
48,BBUS,Morningstar US Target Market Exposure Index,0,,46641Q39
49,BETZ,Roundhill Sports Betting & iGaming Index,0,,53656F78
50,BFIT,Indxx Global Health & Wellness Thematic Index,0,,37954Y79
51,BFOR,Barrons 400 TR USD,0,,00162Q72
52,BIBL,Inspire 100 Index,0,,66538H53
53,BICK,ISE BICK USD,0,,33733H10
54,BIZD,MV US Business Dvlpmnt Companies GR USD,0,,92189F41
55,BJK,MV Global Gaming NR USD,0,,92189F88
