index_name,index_id,turnover_perc,numholdings_,aum_index,dvol,competition,top3_issuer,spread_bps,d_OwnIndex
ARK Israeli Innovation Index,ARK Israeli Innovation Index,483.9864573,44.0876494,32906647.76,707824.9689,0,0,88.89595873,1
Acquirers Deep Value Index,Acquirers Deep Value Index,246.9325302,52.04132231,23698779.17,232374.5889,0,0,25.8241355,1
Acquirers Index,Acquirers Index,232.4756728,62.06719368,18422731.08,167877.7306,0,0,25.80910505,1
Adaptive Wealth Strategies U.S. Factor Index,Adaptive Wealth Strategies U.S. Factor Index,100.5450444,224.6761134,151326869.9,594099.599,0,0,45.08747828,1
Alerian Energy Infrastructure USD,Alerian Energy Infrastructure USD,379.8735487,36.39516129,38684830.52,545527.7732,0,0,31.65614037,1
Alerian MLP Infrastructure TR USD,Alerian MLP Infrastructure TR USD,698.6028101,21.10483871,4356615138,121405924.1,0,0,12.51071829,1
Alpha Architect Value Momentum Trend Index,Alpha Architect Value Momentum Trend Index,132.1445244,5.901185771,52044121.51,296768.3629,0,0,31.48968353,1
AlphaClone Hedge Fund Long/Short TR USD,AlphaClone Hedge Fund Long/Short TR USD,154.2926901,40.71936759,24276694.22,141157.7257,0,0,25.5352604,1
AlphaFactor US Core Equity Index,AlphaFactor US Core Equity Index,99.06555807,102.1778656,76204061.75,298098.5799,0,0,27.71901738,1
AlphaShares China SC TR USD,AlphaShares China SC TR USD,277.603633,316.9677419,53556991.5,593117.3269,0,0,17.71663556,1
American Energy Independence Index,American Energy Independence Index,190.3325323,33.90909091,11985372.51,86438.29051,0,0,56.87313547,1
Ardour Global Index Extra Liquid,Ardour Global Index Extra Liquid,159.2942107,32.32270916,138209582.8,990286.8722,0,0,59.90759206,1
Armor US Equity Index,Armor US Equity Index,455.8954592,8.140186916,3720139.913,59676.65074,0,0,35.85850058,1
BNY Mellon BRIC Select DR USD,BNY Mellon BRIC Select DR USD,226.8458626,117.7741935,60762861.08,538161.3972,0,0,11.53487776,1
BONY Developed Markets 100 ADR TR USD,BONY Developed Markets 100 ADR TR USD,179.581079,85,27045283.1,214711.3406,0,0,34.36949861,1
BONY Emerging Markets 50 ADR TR USD,BONY Emerging Markets 50 ADR TR USD,98.61525347,50.47035573,132574677.9,537860.5384,0,0,44.78330817,1
BONY Europe 100 ADR TR,BONY Europe 100 ADR TR,58.52859086,73.03225806,9763452.992,22861.68876,0,0,55.20062357,1
BONY New Frontier DR TR USD,BONY New Frontier DR TR USD,306.825274,65.51612903,60864581.75,740088.3193,0,0,21.87641193,1
BVP Nasdaq Emerging Cloud Index,BVP Nasdaq Emerging Cloud Index,1120.188298,53.15139442,460946365.9,17031185.6,0,0,21.86444483,0
Barrons 400 TR USD,Barrons 400 TR USD,71.20718705,399.4032258,114485346.2,320819.1074,0,0,19.15723525,1
Beacon Global Timber USD,Beacon Global Timber USD,189.0676834,83.88932806,84662263.34,661734.6478,0,0,35.05004201,1
Beacon Spin-Off TR USD,Beacon Spin-Off TR USD,88.39302344,33.86956522,66330127.27,229128.5433,0,0,48.48161873,1
Beta Advantage Research Enhanced U.S. Equity Index,Beta Advantage Research Enhanced U.S. Equity Index,222.3637078,357.6932271,46404062.53,530385.9076,0,0,47.22119268,1
Beta Advantage Research Enhanced U.S. Value Index,Beta Advantage Research Enhanced U.S. Value Index,38.54857995,287.0119522,3501563.306,33634.97139,0,0,34.33423931,1
Beta Advantage Sustainable Global Equity Income 200 Index,Beta Advantage Sustainable Global Equity Income 200 Index,76.76422636,206.5090909,15952323.68,42874.49328,0,0,222.7478914,1
Beta Advantage Sustainable International Equity Income 100 Index,Beta Advantage Sustainable International Equity Income 100 Index,108.1145593,121.8326693,4493863.275,18789.76638,0,0,107.7772068,1
Beta Advantage Sustainable U.S. Equity Income 100 Index,Beta Advantage Sustainable U.S. Equity Income 100 Index,123.0982737,102.7768924,5239370.935,25742.54492,0,0,64.71195697,1
BlueStar 5G Communications Index,BlueStar 5G Communications Index,444.3611661,76.07114625,405707099.6,6553727.489,0,0,10.44389346,1
BlueStar Israel Global TR USD,BlueStar Israel Global TR USD,54.76593469,140.0996016,59817647.58,137546.55,0,0,108.0374633,1
BlueStar Quantum Computing and Machine Learning Index,BlueStar Quantum Computing and Machine Learning Index,428.3296363,82.09090909,32613916.33,512244.5221,0,0,18.89562733,1
BofA Merrill Lynch Diversified Core U.S. Preferred Securities Index,BofA Merrill Lynch Diversified Core U.S. Preferred Securities Index,261.191252,285.7044534,723311000.5,7919924.399,0,0,20.65153719,1
BrandTransact50 Index,BrandTransact50 Index,611.1993459,51,16155277.4,292285.0901,0,0,29.57013335,1
CBOE NASDAQ-100 BuyWrite USD,CBOE NASDAQ-100 BuyWrite USD,301.2685539,105.951417,1147727959,13369388.66,0,0,17.4221818,0
CEMP Emerging Market 500 Volatility Weighted Index,CEMP Emerging Market 500 Volatility Weighted Index,75.24073112,499.7351779,37250995.86,239488.6644,0,0,28.64642808,1
CEMP Emerging Market High Dividend 100 Volatility Weighted Index,CEMP Emerging Market High Dividend 100 Volatility Weighted Index,151.6703567,100.8498024,26392991.31,200329.0237,0,0,25.26089844,1
CEMP International 500 Long/Cash Volatility Weighted Index,CEMP International 500 Long/Cash Volatility Weighted Index,156.6707453,501.7826087,54336002.75,346333.6663,0,0,32.26903839,1
