quarter,primary_benchmark,composite_ticker,aum,avg_daily_trading_volume,management_fee,other_expenses,total_expenses,fee_waivers,net_expenses,spread_win,discount_win_abs,volumeshare,aumshare,logvolume,logaum,rank_fee,uniquevals,highfee
2016Q1,DJ Industrial Average TR USD,DIA,11889403448.275862,7895028.413793104,0.06,0.11,0.17,0.0,0.17,0.01597205,0.0001832205,0.8870776047647212,0.9732366628615498,15.881743804625899,23.198913373831616,1.0,2,0.0
2016Q1,DJ Industrial Average TR USD,DOG,326950396.55172414,1005014.1206896552,0.75,0.25,1.0,-0.05,0.95,0.0824253,0.0004019295,0.11292239523527887,0.02676333713845029,13.820512149814075,19.605319024852683,2.0,2,1.0
2016Q1,DJ US Basic Materials TR USD,IYM,315270344.26229507,124748.19672131147,0.43,0.0,0.43,0.0,0.43,0.239112,0.0116249,0.9171989581782205,0.9521386771831134,11.7340525583695,19.568941064469502,1.0,2,0.0
2016Q1,DJ US Basic Materials TR USD,SBM,15847750.0,11261.766666666666,0.75,7.33,8.08,-7.13,0.95,0.7942995,0.0026925300000000003,0.08280104182177943,0.047861322816886626,9.329168786959073,16.578538092374917,2.0,2,1.0
2016Q1,DJ US Oil&Gas TR USD,DDG,12967986.06557377,17832.655737704918,0.75,3.57,4.32,-3.37,0.95,0.830159,0.00294429,0.011504035653423984,0.013080153063360024,9.788786647477574,16.37799426787315,2.0,2,1.0
2016Q1,DJ US Oil&Gas TR USD,IYE,978456655.7377049,1532289.0819672132,0.43,0.0,0.43,0.0,0.43,0.0613154,0.0159639,0.988495964346576,0.9869198469366399,14.242273307282913,20.701487047179224,1.0,2,0.0
2016Q1,FTSE China 25 TR USD,FXI,4650250819.672132,28263859.93442623,0.73,0.0,0.73,0.0,0.73,0.0383873,0.012792,0.9994493553436989,0.9970581026264652,17.157094512391314,22.26018699480542,1.0,2,0.0
2016Q1,FTSE China 25 TR USD,YXI,13720926.229508197,15571.918032786885,0.75,1.42,2.17,-1.22,0.95,0.229369,0.000997672,0.0005506446563010721,0.002941897373534724,9.653224444960191,16.434432687422728,2.0,2,1.0
2016Q1,JPX-Nikkei 400 Total Return Index,JPN,12372391.304347826,5452.934782608696,0.4,0.0,0.4,0.0,0.4,0.30956700000000004,0.01024505,0.14362175562436105,0.08265623718885591,8.603909234944162,16.33097804050774,1.0,2,0.0
2016Q1,JPX-Nikkei 400 Total Return Index,JPXN,137312517.24137932,32514.396551724138,0.48,0.0,0.48,0.0,0.48,0.830159,0.00787473,0.8563782443756389,0.9173437628111442,10.3894382410575,18.737770033672167,2.0,2,1.0
2016Q1,MSCI ACWI Ex USA NR USD,ACWX,2049966724.137931,1885374.6551724137,0.33,0.0,0.33,0.0,0.33,0.02782695,0.010743949999999999,0.8552442371528237,0.7404285600323876,14.449637115174514,21.441089397837146,1.0,2,0.0
2016Q1,MSCI ACWI Ex USA NR USD,CWI,718655172.4137931,319112.1724137931,0.34,0.0,0.34,-0.039999999999999994,0.3,0.830159,0.00495014,0.14475576284717637,0.2595714399676124,12.673297957617741,20.39289220733879,2.0,2,1.0
2016Q1,MSCI ACWI Low Carbon Target Index,CRBN,207752344.8275862,6172.982758620689,0.33,0.0,0.33,-0.13,0.2,0.455621,0.0066963149999999996,0.8691683056933412,0.7179412832725829,8.727937429359166,19.151857278411523,2.0,2,1.0
2016Q1,MSCI ACWI Low Carbon Target Index,LOWC,81619989.1891892,929.1891891891892,0.3,0.0,0.3,-0.1,0.2,0.830159,0.00329484,0.13083169430665875,0.2820587167274172,6.8343123662926155,18.21758475548896,1.0,2,0.0
2016Q1,NASDAQ 100 Equal Weighted TR USD,QQEW,406872448.2758621,104235.72413793103,0.4,0.2,0.6,0.0,0.6,0.06071375,0.0114687,0.8601787891679318,0.8393949419418013,11.554410191559203,19.824010299388824,2.0,2,1.0
2016Q1,NASDAQ 100 Equal Weighted TR USD,QQQE,77848662.06896552,16943.41379310345,0.3,0.22,0.52,-0.17,0.35,0.2215225,0.000686382,0.13982121083206825,0.16060505805819858,9.737634470518406,18.170277270084597,1.0,2,0.0
2016Q1,Russell 1000 Growth TR USD,IWF,28626356896.551723,3244767.5862068967,0.2,0.0,0.2,0.0,0.2,0.02857635,0.004498075000000001,0.9903087186129081,0.9823274623288959,14.992554283431117,24.077593700196974,2.0,2,1.0
2016Q1,Russell 1000 Growth TR USD,VONG,515001758.62068963,31753.689655172413,0.1,0.019999999999999997,0.12,0.0,0.12,0.0503884,0.005991120000000001,0.00969128138709182,0.017672537671104088,10.365764207180753,20.059680873419634,1.0,2,0.0
2016Q1,Russell 1000 TR USD,IWB,14049117241.37931,1919571.3275862068,0.15,0.0,0.15,0.0,0.15,0.02728565,0.005056835,0.9809909761541199,0.9600481531690779,14.46761245219402,23.365825400957224,2.0,2,1.0
2016Q1,Russell 1000 TR USD,VONE,584645862.0689656,37196.24137931035,0.09,0.03,0.12,0.0,0.12,0.08929045,0.0062343,0.0190090238458801,0.03995184683092215,10.523962996965954,20.186516857904696,1.0,2,0.0
2016Q1,Russell 1000 Value TR USD,IWD,24949743103.448277,3577597.8103448274,0.2,0.0,0.2,0.0,0.2,0.0273691,0.0056765949999999996,0.9889003798475566,0.9824348094090722,15.090202130456841,23.94012936263595,2.0,2,1.0
2016Q1,Russell 1000 Value TR USD,VONV,446082517.2413793,40155.68965517241,0.09,0.03,0.12,0.0,0.12,0.05506565,0.00706487,0.011099620152443337,0.01756519059092773,10.600519419301934,19.91601450910722,1.0,2,0.0
2016Q1,Russell 2000 Growth TR USD,IWO,5740013965.5172415,1099452.9137931035,0.25,0.0,0.25,0.0,0.25,0.060659950000000004,0.00832008,0.9880937131222206,0.9786575623553742,13.91032326295134,22.470727480291867,2.0,2,1.0
2016Q1,Russell 2000 Growth TR USD,VTWG,125177482.7586207,13248.137931034482,0.15,0.05,0.2,0.0,0.2,0.07611905,0.010211805000000001,0.011906286877779436,0.021342437644625907,9.491612288031778,18.64524315028453,1.0,2,0.0
2016Q1,Russell 2000 TR USD,IWM,23839484482.75862,40154548.172413796,0.2,0.0,0.2,0.0,0.2,0.009944950000000001,0.008374015,0.9767675845945886,0.9568705715740605,17.50824627145358,23.894609054864397,,3,
2016Q1,Russell 2000 TR USD,RWM,555038000.0,899367.0,0.75,0.27,1.02,-0.07,0.95,0.024538,0.000312354,0.021877285942357896,0.022278146521558774,13.70944646151819,20.13454713783532,,3,
